ID,time,Observation,Observation_simBlq,popPred,indivPredMean,indivPredMode,censored,split,color,filter
38,28,681.34,681.34,27.2321,28.0483,28.0069,0,All,#4682B4,0
38,32,999.44,999.44,43.6553,45.154,45.0778,0,All,#4682B4,0
38,33,1067.65,1067.65,49.1224,50.8621,50.7736,0,All,#4682B4,0
38,34,1132.16,1132.16,55.2726,57.2906,57.188,0,All,#4682B4,0
39,11,43.58,43.58,3.66351,3.45584,3.44806,0,All,#4682B4,0
39,12,79.58,79.58,4.12295,3.86866,3.85915,0,All,#4682B4,0
39,13,76.32,76.32,4.63991,4.33067,4.31914,0,All,#4682B4,0
39,14,92.2,92.2,5.22094,4.8472,4.83331,0,All,#4682B4,0
39,17,218.51,218.51,7.43817,6.79664,6.773,0,All,#4682B4,0
39,18,213.09,213.09,8.36956,7.60726,7.57925,0,All,#4682B4,0
