ID,time,pop,popPred,indivPredMean,indivPredMode
3,22.6016,14.4006,14.4006,14.4756,14.4774
3,22.64,14.466,14.466,14.5414,14.5433
3,22.6694,14.5163,14.5163,14.5921,14.594
3,22.72,14.6032,14.6032,14.6796,14.6815
3,22.7375,14.6334,14.6334,14.71,14.7119
3,22.8,14.7417,14.7417,14.8191,14.821
3,22.8058,14.7517,14.7517,14.8292,14.8311
3,22.8742,14.8713,14.8713,14.9497,14.9516
3,22.88,14.8815,14.8815,14.9599,14.9618
3,22.9429,14.9923,14.9923,15.0715,15.0735
3,22.96,15.0226,15.0226,15.102,15.104
3,23.0118,15.1146,15.1146,15.1948,15.1967
3,23.04,15.1651,15.1651,15.2456,15.2476
3,23.0808,15.2384,15.2384,15.3195,15.3214
